original,normalized,score
Знакомство С Менеджерами,- Знакомство С Менеджерами,96.0
Издательство Национальное Образование,Издательство Национальное Образование,100.0
Иннополис,Иннополис,100.0
Иннотех,Иннотех,100.0
Интеграционные Решения,- Интеграционные Решения,95.65217391304348
Интерфакс,Интерфакс,100.0
Исходный Код,Исходный Код,100.0
Иц Айтеко,Иц Айтеко,84.21052631578947
Калина Софт,Калина Софт,100.0
Катюшапринт,Катюшапринт,100.0
Кб 12,Кб 12,80.0
Квинсдевелопмент,Квинсдевелопмент,100.0
Киберлаб,Киберлаб,100.0
Кловер Групп,Кловер Групп,100.0
Код Безопасности,Код Безопасности,100.0
Код Открытия,Код Открытия,100.0
Кокос.Group,Кокос.Group,100.0
Компания Sapiens Solution,Компания Sapiens Solution,100.0
Компания T2,Компания T2,100.0
Компэл,Компэл,100.0
Контур,Контур,100.0
Корпорация Элар,Корпорация Элар,100.0
Кредит Европа Банк,Кредит Европа Банк,100.0
Купер,Купер,100.0
Купибилет,Купибилет,100.0
Лаборатория Безопасных Систем,Лаборатория Безопасных Систем,100.0
Ланит Би Пи Эм,Ланит Би Пи Эм,100.0
Легкорем,Легкорем,100.0
Лемма,Лемма,100.0
Лига Цифровой Экономики,Лига Цифровой Экономики,100.0
Магнит,Магнит,100.0
Маквес,Маквес,100.0
Максбитсолюшен,Максбитсолюшен,100.0
Мегаплан,Мегаплан,100.0
Мегафон,Мегафон,100.0
Медиалогия,Медиалогия,100.0
Медлайнсофт,Медлайнсофт,100.0
Мобайлдевелопмент,Ооо Мобайлдевелопмент,95.0
Моеvideo,Моеvideo,100.0
Мой Склад,Мой Склад,100.0
Мосгосэкспертиза,Мосгосэкспертиза,100.0
Московский Аэропорт Домодедово,Московский Аэропорт Домодедово,100.0
Мостранспорт,Мостранспорт,100.0
Название Компании Appmaster,Название Компании Appmaster,100.0
Название Компании Beget,Название Компании Beget,100.0
Нефтетранссервис,Нефтетранссервис,100.0
Ниимэ,Ниимэ,90.0
Нильсен,Нильсен,100.0
Ниу Вшэ,Ниу Вшэ,100.0
Омнитек,Омнитек,100.0
Онлайн Решения,Онлайн Решения,100.0
Онлайн Школа Тетрика,Онлайн Школа-Тетрика,95.0
Орнитех,Орнитех,100.0
"Отп Банк В Какую То Команду Из Daily Banking, Которая Занимается Микрофронтами","Отп Банк В Какую То Команду Из Daily Banking, Которая Занимается Микрофронтами",100.0
Петрович Тех,Петрович Тех,91.66666666666666
Платежное Решение,Платежное Решение,100.0
Платформа,Платформа,100.0
Поле.рф,Поле.рф,100.0
Продамус,Продамус,100.0
Промсвязьбанк,Промсвязьбанк,100.0
Промышленные инновации,Промышленные инновации,100.0
Р Софт,Р Софт,85.5
РСХБ Интех,РСХБ Интех,90.0
Райффайзен,Райффайзен,100.0
Рамблер,Рамблер,100.0
Расчетные Решения,Расчетные Решения,100.0
Рв Системс,Рв Системс,90.0
Рвд Инфосистемы,Рвд Инфосистемы,100.0
Редсофт,Редсофт,100.0
Ренессанс Страхование,Ренессанс Страхование,100.0
Рокет Тех,Рокет Тех,90.0
Росбанк,Росбанк,100.0
Росгосстрах,Росгосстрах,100.0
Российский Университет Дружбы Народов,Российский Университет Дружбы Народов,100.0
Ростелеком Ит,Ростелеком Ит,100.0
Ростелком Ит,Ростелком Ит,100.0
Ротек,Ротек,100.0
Рсхб Отд.Корп.Аналитики,Рсхб - Отд.Корп.Аналитики,95.83333333333334
Ртк,Ртк,90.0
Ртлабс,Ртлабс,100.0
Рунити,Рунити,100.0
СЗ РЦАИ,СЗ РЦАИ,100.0
Сапкод,Сапкод,100.0
Сател,Сател,100.0
Сбер,Сбер,100.0
Северсталь,Северсталь,100.0
Сибентек,Сибентек,100.0
Сибинтек,Сибинтек,100.0
Сибур,Сибур,100.0
Сигнал,Сигнал,100.0
Синхро,Синхро,100.0
Снэп Айти,Снэп Айти,90.0
Совкомбанк,Совкомбанк,100.0
Согаз,Согаз,100.0
Сошиал Системс,Сошиал Системс,100.0
Спортс,Спортс,100.0
Спринтерра,Спринтерра,100.0
Спросиврача,Спросиврача,100.0
Сравни,Сравни,100.0
Стеллар,Стеллар,100.0
СтилСофт,СтилСофт,100.0
Стрим Лабс,Стрим Лабс,100.0
Студия,Студия,90.0
Сфера,Сфера,100.0
Т Банк,Т Банк,85.5
Теле2,Теле2,100.0
Тензор,Тензор,100.0
Тетрика Онлайн Школа,Тетрика Онлайн Школа,100.0
Тех Тпп Лаб,Тех Тпп Лаб,100.0
Технократия,Технократия,100.0
Технологии Доверия,Технологии Доверия,100.0
Топ Системы,Топ Системы,100.0
Точка Банк,Точка Банк,100.0
Точка Маркетплейсы,07 Точка Маркетплейсы,95.0
Транснефть,Транснефть,100.0
Триафлай,Триафлай,100.0
Ту Софт,- Ту Софт,95.0
Умный Сервис,Умный Сервис,100.0
Урбантех,Урбантех,100.0
Учи.ру,Учи.ру,100.0
ФАККТ,ФАККТ,100.0
ФГАОУ ВО МИИТ,ФГАОУ ВО МИИТ,100.0
Фалт Системс,Фалт Системс,100.0
Финам,Финам,100.0
Финуслуги,Финуслуги,100.0
Харош,Харош,100.0
Цб Рф,Цб Рф,100.0
Цезио,Цезио,100.0
Центр Авиа,Центр Авиа,100.0
Центральный Банк Рф,Центральный Банк Рф,100.0
Цифровые Привычки,Цифровые Привычки,100.0
Чатап,Чатап,100.0
Честный Знак,Честный Знак,100.0
ЭД Айти,ЭД Айти,85.71428571428572
Элвис,Элвис,100.0
Эпик Дей,Эпик Дей,100.0
Эремейч Рус,Эремейч Рус,100.0
Юспи Групп,Юспи Групп,100.0
Яндекс,Яндекс,100.0
